template,ID,description
"SELECT p.FirstName, p.LastName, SUM(soh.TotalDue) AS TotalRevenue FROM Sales_SalesOrderHeader soh INNER JOIN Sales_SalesPerson sp ON soh.SalesPersonID = sp.BusinessEntityID INNER JOIN Person_Person p ON sp.BusinessEntityID = p.BusinessEntityID INNER JOIN Sales_SalesTerritory t ON sp.TerritoryID = t.TerritoryID WHERE t.Name = ""{Sales_SalesTerritory_Name}"" GROUP BY p.FirstName, p.LastName",AW-S11,Get total sales revenue per salesperson in a given territory.
"SELECT p.Name AS ProductName, pr.ReviewerName, pr.Rating, pr.Comments FROM Production_Product p INNER JOIN Production_ProductSubcategory ps ON p.ProductSubcategoryID = ps.ProductSubcategoryID INNER JOIN Production_ProductReview pr ON p.ProductID = pr.ProductID WHERE ps.Name = ""{Production_ProductSubcategory_Name}""",AW-S12,List products in a given subcategory with their reviews.
"SELECT YEAR(OrderDate) AS SalesYear, MONTH(OrderDate) AS SalesMonth, COUNT(*) AS OrderCount, SUM(TotalDue) AS TotalSales FROM Sales_SalesOrderHeader WHERE TerritoryID = {Sales_SalesOrderHeader_TerritoryID} GROUP BY YEAR(OrderDate), MONTH(OrderDate) ORDER BY SalesYear, SalesMonth",AW-S13,Get monthly sales summary for a given territory.
"SELECT p.ProductID, p.Name AS ProductName, SUM(sod.OrderQty) AS UnitsSold, SUM(sod.LineTotal) AS Revenue FROM Sales_SalesOrderDetail sod INNER JOIN Production_Product p ON sod.ProductID = p.ProductID INNER JOIN Production_ProductSubcategory ps ON p.ProductSubcategoryID = ps.ProductSubcategoryID WHERE ps.Name = ""{Production_ProductSubcategory_Name}"" GROUP BY p.ProductID, p.Name ORDER BY Revenue DESC LIMIT 25",AW-S14,Top 25 best-selling products in a given subcategory.
"SELECT p.Name AS ProductName, SUM(pi.Quantity) AS TotalStock FROM Production_ProductInventory pi INNER JOIN Production_Product p ON pi.ProductID = p.ProductID GROUP BY p.Name HAVING SUM(pi.Quantity) < {rand_medium_pos_number}",AW-S15,List products with total inventory below a given threshold.
"SELECT p.BusinessEntityID, p.FirstName, p.LastName, pw.PasswordHash FROM Person_Person p INNER JOIN Person_EmailAddress ea ON p.BusinessEntityID = ea.BusinessEntityID INNER JOIN Person_Password pw ON p.BusinessEntityID = pw.BusinessEntityID WHERE ea.EmailAddress = ""{Person_EmailAddress_EmailAddress}""",AW-S16,Login by email address and retrieve password hash.
"SELECT e.BusinessEntityID, p.FirstName, p.LastName, pw.PasswordHash FROM HumanResources_Employee e INNER JOIN Person_Person p ON e.BusinessEntityID = p.BusinessEntityID INNER JOIN Person_Password pw ON e.BusinessEntityID = pw.BusinessEntityID WHERE e.LoginID = ""{HumanResources_Employee_LoginID}""",AW-S17,Login by employee LoginID and retrieve password hash.
"SELECT p.FirstName, p.LastName, p.PersonType, ea.EmailAddress, pp.PhoneNumber FROM Person_Person p LEFT JOIN Person_EmailAddress ea ON p.BusinessEntityID = ea.BusinessEntityID LEFT JOIN Person_PersonPhone pp ON p.BusinessEntityID = pp.BusinessEntityID WHERE p.BusinessEntityID = {Person_Person_BusinessEntityID}",AW-S18,Get user profile details by BusinessEntityID.
"SELECT COUNT(*) AS EmailExists FROM Person_EmailAddress WHERE EmailAddress = ""{Person_EmailAddress_EmailAddress}""",AW-S19,Check if an email address already exists.
"SELECT c.CustomerID, c.PersonID, c.StoreID, c.TerritoryID FROM Sales_Customer c WHERE c.AccountNumber = ""{Sales_Customer_AccountNumber}""",AW-S20,Retrieve customer account by account number.
"SELECT ProductID FROM Production_Product WHERE {conditions}",AW-S21,Search products using a flexible set of filter conditions.
