full_query,label,template_id,malicious_input,malicious_input_id
UPDATE airport SET wikipedia_link = ''https://en.wikipedia.org/wiki/Easterwood_Airport'' WHERE type = ''heliport'',0,airport-U3,,
"UPDATE airport SET municipality = ''Zhuhai (Jinwan)'' WHERE iso_country = '""CA""'",0,airport-U2,,
UPDATE airport SET wikipedia_link = ''https://en.wikipedia.org/wiki/Southwest_Florida_International_Airport'' WHERE type = ''closed'',0,airport-U3,,
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Umiat_Airport""' WHERE type = ''seaplane_base''",0,airport-U3,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""AYNC"",""small_airport"", ""Hanover Airport"",""https://en.wikipedia.org/wiki/Captain_Rolden_International_Airport"",'EU')",0,airport-I3,,
"INSERT INTO airport (ident, type, name, iso_country, iso_region, keywords) VALUES ('VE-0041', 'small_airport', ""Kingsville Intermediate Field"", 'BR', ""US-MI"", 'Acroriver Apartment Complex')",0,airport-I4,,
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES ('CYRM', 'small_airport', ""Willow Creek Trading Post Airport"", 27.441653, -46.544352)",0,airport-I1,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES ('YXLL',""closed"", 'Victoriaville Airport',""https://en.wikipedia.org/wiki/RAF_Beaulieu"",'EU')",0,airport-I3,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""U65"",'small_airport', ""Mukho Port Heliport"",""https://en.wikipedia.org/wiki/CFB_Shilo"",""SA"")",0,airport-I3,,
"INSERT INTO airport (ident, type, name, iso_country, iso_region, keywords) VALUES ('AU-0324', ""small_airport"", 'Gosling Lake Water Aerodrome', ""US"", 'JP-28', ""Ha Tsuen, Tai A Chau"")",0,airport-I4,,
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES ('KR-0818', 'heliport', 'Zitone Airport', -10.305833, 12.553635)",0,airport-I1,,
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""GP-0002"", ""heliport"", ""Eagle Pass Airport"", 43.615299, 1.366682)",0,airport-I1,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""0PN5"",""medium_airport"", ""Tsing Shan Range Yuen Tau Shan Heliport"",'https://en.wikipedia.org/wiki/Amherst_Airport',""SA"")",0,airport-I3,,
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES ('JY04', ""closed"", 'Johnson Airport', 27.61734, -63.261681, 40.0)",0,airport-I2,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""FA62"",'medium_airport', 'Car One Heliport','https://en.wikipedia.org/wiki/Reyes_Murillo_Airport',""SA"")",0,airport-I3,,
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES ('86IS',""small_airport"", ""Fonte di Papa Heliport"",'https://en.wikipedia.org/wiki/Tri-County_Airport_(Florida)','EU')",0,airport-I3,,
"SELECT * FROM airport WHERE gps_code = 'sqlmap_payload' OR local_code = ""LF6352""",0,airport-S4,sqlmap_payload,sqlmap_id
"SELECT id, ident, name FROM airport WHERE iso_country = ""sqlmap_payload"" LIMIT -57370",0,airport-S5,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN 775.0 AND sqlmap_payload,0,airport-S3,sqlmap_payload,sqlmap_id
"SELECT id, ident, name FROM airport WHERE iso_country = ""sqlmap_payload"" LIMIT -42202",0,airport-S5,sqlmap_payload,sqlmap_id
"SELECT id, ident, name FROM airport WHERE iso_country = 'sqlmap_payload' LIMIT -35984",0,airport-S5,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN sqlmap_payload AND 800.0,0,airport-S2,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN 2060.0 AND sqlmap_payload,0,airport-S3,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN 360.0 AND sqlmap_payload,0,airport-S3,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN 4628.0 AND sqlmap_payload,0,airport-S3,sqlmap_payload,sqlmap_id
"SELECT id, ident, name FROM airport WHERE iso_country = 'sqlmap_payload' LIMIT -43711",0,airport-S5,sqlmap_payload,sqlmap_id
"SELECT * FROM airport WHERE gps_code = ""sqlmap_payload"" OR local_code = ""3IN5""",0,airport-S4,sqlmap_payload,sqlmap_id
SELECT * FROM airport WHERE elevation_ft BETWEEN 2363.0 AND sqlmap_payload,0,airport-S3,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=34.9841 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
"DELETE FROM airport WHERE keywords LIKE ""sqlmap_payload"";  ",0,airport-D4,sqlmap_payload,sqlmap_id
"DELETE FROM airport WHERE municipality=""sqlmap_payload"";",0,airport-D1,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=39.4886667 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=32.365276 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
"DELETE FROM airport WHERE keywords LIKE ""sqlmap_payload"";  ",0,airport-D4,sqlmap_payload,sqlmap_id
"DELETE FROM airport WHERE municipality=""sqlmap_payload"";",0,airport-D1,sqlmap_payload,sqlmap_id
"DELETE FROM airport WHERE municipality=""sqlmap_payload"";",0,airport-D1,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=-34.977096 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=sqlmap_payload AND longitude_deg=-92.64257;,0,airport-D2,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=41.7336006165 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
DELETE from airport WHERE latitude_deg=33.876389 AND longitude_deg=sqlmap_payload;,0,airport-D3,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Valjevo_Airfield""' WHERE type = '""sqlmap_payload""'",0,airport-U3,sqlmap_payload,sqlmap_id
"UPDATE airport SET gps_code = ''YREN'' WHERE continent = ''EU'' AND iso_region = '""sqlmap_payload""'",0,airport-U4,sqlmap_payload,sqlmap_id
"UPDATE airport SET elevation_ft = 227.0 WHERE ident = ""sqlmap_payload""",0,airport-U1,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/St-Bruno-De-Guigues_Airport""' WHERE type = '""sqlmap_payload""'",0,airport-U3,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Hamadan_International_Airport""' WHERE type = ''sqlmap_payload''",0,airport-U3,sqlmap_payload,sqlmap_id
"UPDATE airport SET gps_code = '""HTBU""' WHERE continent = ''AS'' AND iso_region = '""sqlmap_payload""'",0,airport-U4,sqlmap_payload,sqlmap_id
"UPDATE airport SET elevation_ft = 981.0 WHERE ident = ""sqlmap_payload""",0,airport-U1,sqlmap_payload,sqlmap_id
"UPDATE airport SET elevation_ft = 890.0 WHERE ident = ""sqlmap_payload""",0,airport-U1,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = ''https://en.wikipedia.org/wiki/Engengele_Airport'' WHERE type = '""sqlmap_payload""'",0,airport-U3,sqlmap_payload,sqlmap_id
"UPDATE airport SET municipality = '""San Fernando""' WHERE iso_country = ''JP''",0,airport-U2,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/Oconto_%E2%80%93_J._Douglas_Bake_Municipal_Airport""' WHERE type = ''sqlmap_payload''",0,airport-U3,sqlmap_payload,sqlmap_id
"UPDATE airport SET wikipedia_link = '""https://en.wikipedia.org/wiki/East_Jordan_City_Airport""' WHERE type = '""sqlmap_payload""'",0,airport-U3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""JP-1441"",'small_airport', ""Kingsville Naval Outlying Landing Field Number 22"",""https://de.wikipedia.org/wiki/Flugplatz_H%C3%B6lleberg"",""sqlmap_payload"")",0,airport-I3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, iso_country, iso_region, keywords) VALUES (""US-4036"", ""small_airport"", ""MJ Aviation II Airport"", 'US', ""MX-TLA"", ""sqlmap_payload"")",0,airport-I4,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""sqlmap_payload"", 'small_airport', ""Old Andado Airport"", 53.271783, 11.70398)",0,airport-I1,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES ('EDXM',""heliport"", 'Oradea / Smurd Bh 2 Heliport','https://en.wikipedia.org/wiki/Oneonta_Municipal_Airport',""sqlmap_payload"")",0,airport-I3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""OA33"",""heliport"", 'Centre Hospitalier Cholet Heliport','https://en.wikipedia.org/wiki/Mashhad_International_Airport',""sqlmap_payload"")",0,airport-I3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, iso_country, iso_region, keywords) VALUES (""GB-1312"", 'small_airport', 'Calcinate del Pesce Airfield', 'US', 'MX-CHP', 'sqlmap_payload')",0,airport-I4,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""sqlmap_payload"", ""heliport"", 'Austin Ranch Airport', 41.30839920043945, -58.229595)",0,airport-I1,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES ('sqlmap_payload', 'heliport', ""Sultan Mahmud Badaruddin II Airport"", 33.43539810180664, -91.88967)",0,airport-I1,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES ('FA13','heliport', ""Sandy River Airport"",'https://en.wikipedia.org/wiki/Basa_Air_Base','sqlmap_payload')",0,airport-I3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES ('YTIN', 'closed', 'Dearing Ranch Airport', 37.334958, 2.902849, sqlmap_payload)",0,airport-I2,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""KGLS"",'medium_airport', ""Redcliffe Airport"",'https://it.wikipedia.org/wiki/Aeroporto_di_Latina',""sqlmap_payload"")",0,airport-I3,sqlmap_payload,sqlmap_id
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES ('KP-0036','medium_airport', 'T7 Ranch Airport','https://en.wikipedia.org/wiki/Tuticorin_Airport',""sqlmap_payload"")",0,airport-I3,sqlmap_payload,sqlmap_id
